height,timestamp,chain_id,proposer_address,num_transactions,num_signatures,num_validators,unique_validator_addresses,max_voting_power,min_voting_power,total_voting_power,max_proposer_priority,max_priority_address,min_proposer_priority,min_priority_address,matches_min_priority,matches_prev_max_priority,proposer_rank_in_prev
181523,2025-04-29T09:38:21.234941366Z,bbn-1,5295664886565F43A3074140551A755872BF6FFD,69,100,100,100,58578606,520,1285313087,698900871,671D816776E8C7FAE18DC122FB6DC231956C6D48,-1449854789,173A9B610463088D52B6EE6F476A483B111CCE2E,False,False,4.0
181524,2025-04-29T09:38:31.373641341Z,bbn-1,C27B627C2FD11EE1E3E850738720692BE2E3F4C6,74,100,100,100,58578606,520,1285313087,720017554,671D816776E8C7FAE18DC122FB6DC231956C6D48,-1449854269,173A9B610463088D52B6EE6F476A483B111CCE2E,False,False,4.0
181525,2025-04-29T09:38:41.50377146Z,bbn-1,671D816776E8C7FAE18DC122FB6DC231956C6D48,78,100,100,100,58578606,520,1285313087,737980216,77BE23139B650D69EDE7985B31FD7B1CEE9CA7D3,-1449853749,173A9B610463088D52B6EE6F476A483B111CCE2E,False,True,1.0
181526,2025-04-29T09:38:51.471696996Z,bbn-1,43804074334AC6111233037EFE20105C516B0E9F,70,100,100,100,58578606,520,1285313087,757981965,77BE23139B650D69EDE7985B31FD7B1CEE9CA7D3,-1449853229,173A9B610463088D52B6EE6F476A483B111CCE2E,False,False,3.0
181527,2025-04-29T09:39:01.702022643Z,bbn-1,E2FC4DF9E7870FC8238136FACA07A120CC078A0C,68,100,100,100,58578606,520,1285313087,777983714,77BE23139B650D69EDE7985B31FD7B1CEE9CA7D3,-1449852709,173A9B610463088D52B6EE6F476A483B111CCE2E,False,False,2.0
181528,2025-04-29T09:39:11.729269588Z,bbn-1,77BE23139B650D69EDE7985B31FD7B1CEE9CA7D3,68,100,100,100,58578606,520,1285313087,783307673,1B03AB3C744545B281D224127708A9EC7487E58C,-1449852189,173A9B610463088D52B6EE6F476A483B111CCE2E,False,True,1.0
181529,2025-04-29T09:39:21.77447999Z,bbn-1,1B03AB3C744545B281D224127708A9EC7487E58C,71,100,100,100,58578606,520,1285313087,773236939,35F6C0359084C37EF6EB4061B694386910093B99,-1449851669,173A9B610463088D52B6EE6F476A483B111CCE2E,False,True,1.0
181530,2025-04-29T09:39:31.948861897Z,bbn-1,44C395A4A96C6D1A450ED33B5A8DDB359CEFED36,68,100,100,100,58578606,520,1285313087,793237989,35F6C0359084C37EF6EB4061B694386910093B99,-1449851149,173A9B610463088D52B6EE6F476A483B111CCE2E,False,False,2.0
181531,2025-04-29T09:39:41.982248649Z,bbn-1,3C70D8336DEE739BDF2D1C5A0FCA0A88B87B9A6D,65,100,100,100,58578606,520,1285313087,813239039,35F6C0359084C37EF6EB4061B694386910093B99,-1449850629,173A9B610463088D52B6EE6F476A483B111CCE2E,False,False,2.0
181532,2025-04-29T09:39:51.938024891Z,bbn-1,35F6C0359084C37EF6EB4061B694386910093B99,70,100,100,100,58578606,520,1285313087,773170387,CCB2909DCD316FC5E738DCDB1F14360F04B44320,-1449850109,173A9B610463088D52B6EE6F476A483B111CCE2E,False,True,1.0
181533,2025-04-29T09:40:02.2074576Z,bbn-1,1A4B644C16A4A1904618F8D3C0F6A67223038390,83,100,100,100,58578606,520,1285313087,789744207,1A4B644C16A4A1904618F8D3C0F6A67223038390,-1449849589,173A9B610463088D52B6EE6F476A483B111CCE2E,False,False,2.0
181534,2025-04-29T09:40:17.117104181Z,bbn-1,1A4B644C16A4A1904618F8D3C0F6A67223038390,72,100,100,100,58578606,520,1285313087,775058160,BB386AA0E7B37EB33516AEBB58CAE3574AF85D1F,-1449849069,173A9B610463088D52B6EE6F476A483B111CCE2E,False,True,1.0
181535,2025-04-29T09:40:27.517019786Z,bbn-1,BB386AA0E7B37EB33516AEBB58CAE3574AF85D1F,88,100,100,100,58578606,520,1285313087,823196382,2A3D40C3E7CE8D6B55077335CAB141C2E11AC254,-1449848549,173A9B610463088D52B6EE6F476A483B111CCE2E,False,True,1.0
181536,2025-04-29T09:40:37.749405133Z,bbn-1,2A3D40C3E7CE8D6B55077335CAB141C2E11AC254,70,100,100,100,58578606,520,1285313087,809488064,718160E3538E0B0ED83D3B3DC4ECE83809FCD107,-1449848029,173A9B610463088D52B6EE6F476A483B111CCE2E,False,True,1.0
